step,train_loss,test_loss,train_acc,test_acc,train_margin,test_margin,grad_norm
1,4.70003080368042,4.716396808624268,0.01195854414254427,0.00991852581501007,-1.185141921043396,-1.2018569707870483,0.7929887175559998
100,3.103255271911621,5.306568145751953,0.400478333234787,0.003542330814525485,-0.2403327375650406,-2.542715549468994,1.2812538146972656
200,0.6947287321090698,4.69552755355835,0.9965453147888184,0.11193765699863434,2.4328298568725586,-2.5574235916137695,3.4922430515289307
300,0.0751289576292038,4.447242736816406,1.0,0.262132465839386,4.720608711242676,-2.5986721515655518,0.9374974370002747
400,0.011945933103561401,4.447754859924316,1.0,0.3223521113395691,6.5242109298706055,-2.619518756866455,0.013089501298964024
500,0.003683792892843485,4.49721097946167,1.0,0.34909671545028687,7.7021355628967285,-2.5881612300872803,0.004367006476968527
600,0.004647665191441774,4.70977783203125,1.0,0.333864688873291,7.346792221069336,-2.882167100906372,0.27248844504356384
700,0.0005927406018599868,4.745118141174316,1.0,0.3678710460662842,9.454379081726074,-2.666600465774536,0.0010864605428650975
800,0.00027195047005079687,4.901692867279053,1.0,0.37070491909980774,10.210912704467773,-2.74941086769104,0.000395028677303344
900,0.00011169972276547924,5.092570781707764,1.0,0.3747785985469818,11.075860023498535,-2.8403096199035645,0.00016697855608072132
1000,4.376278957352042e-05,5.295248031616211,1.0,0.3779667019844055,11.997023582458496,-2.9163899421691895,6.794580986024812e-05
1100,1.6912959836190566e-05,5.4991679191589355,1.0,0.3808005750179291,12.939552307128906,-2.9712624549865723,2.7351698008715175e-05
1200,6.574136477865977e-06,5.698605537414551,1.0,0.384520024061203,13.882935523986816,-3.002197265625,1.1112182619399391e-05
1300,2.6193090434389887e-06,5.887804985046387,1.0,0.388416588306427,14.80255126953125,-3.009831428527832,4.8034203246061224e-06
1400,2.0068406229256652e-05,6.063436031341553,1.0,0.37194472551345825,12.519999504089355,-3.6865084171295166,0.0005646204226650298
1500,1.0546352314122487e-05,5.972315788269043,1.0,0.3808005750179291,13.150285720825195,-3.4279632568359375,0.0001348003133898601
1600,6.736298018950038e-06,5.909039497375488,1.0,0.3839886486530304,13.64696216583252,-3.2212815284729004,5.4682739573763683e-05
1700,4.369995167508023e-06,5.898811340332031,1.0,0.3873538672924042,14.141059875488281,-3.0831074714660645,2.2335651010507718e-05
1800,2.669994728421443e-06,5.963449001312256,1.0,0.388416588306427,14.678529739379883,-3.035560369491577,9.187820069200825e-06
1900,1.4680830418001278e-06,6.091861724853516,1.0,0.3891250491142273,15.285006523132324,-3.056427478790283,3.952636234316742e-06
2000,7.562170480923669e-07,6.24648380279541,1.0,0.3905419707298279,15.924041748046875,-3.1012611389160156,1.8454097698850092e-06
2100,3.8984569528111024e-07,6.385600566864014,1.0,0.3910733163356781,16.515125274658203,-3.1373648643493652,9.986339364331798e-07
2200,2.21913637687976e-07,6.477780818939209,1.0,0.39195889234542847,16.988285064697266,-3.1340386867523193,1.2358714229776524e-06
