train_frac,weight_decay,train_acc_end,test_acc_end,train_acc_mid,test_acc_mid,score
0.4,0.03,1.0,0.30030110478401184,0.9996013939380646,0.1578993946313858,0.7117074459791184
0.3,1.0,1.0,0.26643387973308563,1.0,0.17496584355831146,0.4909063011407852
0.4,0.3,1.0,0.3462628424167633,1.0,0.26762309670448303,0.34693588614463805
0.35,0.03,1.0,0.20160234346985817,1.0,0.1368541494011879,0.33953561484813694
0.35,0.3,1.0,0.2372465506196022,1.0,0.1784663163125515,0.3268638946115971
0.5,0.3,1.0,0.620510071516037,1.0,0.4937300682067871,0.3133899450302124
0.35,0.01,1.0,0.1889306716620922,1.0,0.13448331877589226,0.2892576925456524
0.35,0.0,1.0,0.19072923064231873,1.0,0.13848920166492462,0.27658601701259616
0.25,1.0,1.0,0.11952671594917774,1.0,0.07403996121138334,0.24696048963814976
0.4,0.0,1.0,0.2892313078045845,1.0,0.24433226138353348,0.23526392430067067
0.4,0.01,1.0,0.2977329045534134,1.0,0.25398512184619904,0.22100600898265843
0.3,0.01,1.0,0.10824351198971272,1.0,0.08030970394611359,0.14791255220770838
0.35,0.1,1.0,0.1825539581477642,1.0,0.1563113071024418,0.13024857118725777
0.3,0.03,1.0,0.1175041776150465,1.0,0.09670563414692879,0.12125398814678193
0.4,0.1,1.0,0.2653205841779709,1.0,0.2555791661143303,0.0833865061402321
0.3,0.3,1.0,0.13557006418704987,1.0,0.1260057706385851,0.06720813773572445
0.3,0.0,1.0,0.10907849203795195,1.0,0.09792014490813017,0.06487022768706083
0.3,0.1,1.0,0.11188705265522003,1.0,0.10262638609856367,0.05819038543850183
0.5,0.0,1.0,0.4895855337381363,1.0,0.4845908582210541,-0.1646121561527252
0.5,0.03,1.0,0.48990434408187866,1.0,0.4851222038269043,-0.16599364280700682
0.5,0.01,1.0,0.48894791305065155,1.0,0.48480337858200073,-0.16822524070739744
0.5,0.1,1.0,0.4904356896877289,1.0,0.4869287759065628,-0.17290112078189848
0.25,0.0,1.0,0.0434320536442101,1.0,0.02380615030415356,-249.9116267531179
0.25,0.01,1.0,0.042794387554749846,1.0,0.030820462154224515,-249.9498157924507
0.25,0.03,1.0,0.04385716421529651,1.0,0.03485900582745671,-249.9639861096628
0.25,0.3,1.0,0.0612158146686852,1.0,0.056539606070145965,-249.97390533862637
0.25,0.1,1.0,0.03627603850327432,1.0,0.04109395109117031,-250.01372396149674
0.35,1.0,1.0,0.7104316353797913,1.0,0.2999509423971176,-500.14226623475554
0.4,1.0,1.0,0.9998228847980499,1.0,0.45598652958869934,-1000.999822884798
0.5,1.0,1.0,1.0,0.9997873902320862,0.8223166763782501,-1001.0
