train_frac,weight_decay,seed,train_acc_end,test_acc_end,train_acc_mid,test_acc_mid,train_acc_start,test_acc_start,score
0.25,0.0,0,1.0,0.07892872393131256,1.0,0.04095224663615227,0.010629251599311829,0.010202636010944843,0.16881111040711402
0.25,0.0,1,1.0,0.00793538335710764,1.0,0.006660053972154856,0.0089285708963871,0.010486042127013206,-499.9920646166429
0.25,0.01,0,1.0,0.0779367983341217,1.0,0.054980870336294174,0.010629251599311829,0.010202636010944843,0.09271643832325935
0.25,0.01,1,1.0,0.007651976775377989,1.0,0.006660053972154856,0.0089285708963871,0.010486042127013206,-499.9923480232246
0.25,0.03,0,1.0,0.0802040547132492,1.0,0.06334136426448822,0.010629251599311829,0.010202636010944843,0.06451750695705413
0.25,0.03,1,1.0,0.007510273717343807,1.0,0.006376647390425205,0.0089285708963871,0.010486042127013206,-499.99248972628266
0.25,0.1,0,1.0,0.06490010023117065,1.0,0.07524444162845612,0.010629251599311829,0.010202636010944843,-0.03509989976882935
0.25,0.1,1,1.0,0.007651976775377989,1.0,0.006943460553884506,0.0089285708963871,0.010486042127013206,-499.9923480232246
0.25,0.3,0,1.0,0.11137877404689789,1.0,0.10542723536491394,0.010629251599311829,0.010202636010944843,0.04113646745681762
0.25,0.3,1,1.0,0.011052855290472507,1.0,0.007651976775377989,0.0089285708963871,0.010486042127013206,-499.9889471447095
0.25,1.0,0,1.0,0.18577300012111664,1.0,0.13135893642902374,0.010629251599311829,0.010202636010944843,0.35784331858158114
0.25,1.0,1,1.0,0.053280431777238846,1.0,0.016720985993742943,0.0089285708963871,0.010486042127013206,0.13607766069471836
0.3,0.0,0,1.0,0.18794596195220947,1.0,0.16745103895664215,0.00992204062640667,0.010323364287614822,0.19042057693004608
0.3,0.0,1,1.0,0.03021102212369442,1.0,0.028389250859618187,0.0095676826313138,0.010323364287614822,-0.06068012155592442
0.3,0.01,0,1.0,0.186579629778862,1.0,0.1390617936849594,0.00992204062640667,0.010323364287614822,0.32416881024837496
0.3,0.01,1,1.0,0.02990739420056343,1.0,0.02155761420726776,0.0095676826313138,0.010323364287614822,-0.028343705832958227
0.3,0.03,0,1.0,0.20024290680885315,1.0,0.17079095542430878,0.00992204062640667,0.010323364287614822,0.24701685011386873
0.3,0.03,1,1.0,0.03476544842123985,1.0,0.022620312869548798,0.0095676826313138,0.010323364287614822,-0.004508873820304876
0.3,0.1,0,1.0,0.1826324611902237,1.0,0.18096250295639038,0.00992204062640667,0.010323364287614822,0.09098225235939025
0.3,0.1,1,1.0,0.04114164412021637,1.0,0.02429026924073696,0.0095676826313138,0.010323364287614822,0.025398518517613405
0.3,0.3,0,1.0,0.2161833941936493,1.0,0.20798543095588684,0.00992204062640667,0.010323364287614822,0.12480642199516298
0.3,0.3,1,1.0,0.05495673418045044,1.0,0.04402611032128334,0.0095676826313138,0.010323364287614822,0.009609853476285929
0.3,1.0,0,1.0,0.2849552035331726,1.0,0.2512524724006653,0.00992204062640667,0.010323364287614822,0.18355845212936403
0.3,1.0,1,1.0,0.24791255593299866,1.0,0.09867921471595764,0.0095676826313138,0.010323364287614822,0.7982541501522064
0.35,0.0,0,1.0,0.2753433585166931,1.0,0.1859058141708374,0.00971758272498846,0.010627861134707928,0.4718443632125855
0.35,0.0,1,1.0,0.10611510276794434,1.0,0.09107258915901184,0.00971758272498846,0.010300849564373493,0.0813276708126068
0.35,0.01,0,1.0,0.2719097435474396,1.0,0.17903858423233032,0.00971758272498846,0.010627861134707928,0.49244605302810673
0.35,0.01,1,1.0,0.10595159977674484,1.0,0.0899280533194542,0.00971758272498846,0.010300849564373493,0.08606933206319808
