step,train_loss,test_loss,train_acc,test_acc,train_margin,test_margin,grad_norm
1,4.699061870574951,4.716264247894287,0.01245065312832594,0.009156310930848122,-1.200143814086914,-1.216422438621521,0.7925350069999695
100,2.9259042739868164,5.396783351898193,0.4552080035209656,0.0013080444186925888,-0.11871080100536346,-2.7209622859954834,1.9454624652862549
200,0.5337247848510742,5.197620868682861,1.0,0.040549375116825104,2.7232701778411865,-3.1870741844177246,2.92192006111145
300,0.0455227829515934,5.27283239364624,1.0,0.09892085939645767,5.220670700073242,-3.6435062885284424,0.22122108936309814
400,0.008587772026658058,5.415798664093018,1.0,0.134565070271492,6.85980224609375,-3.9444172382354736,0.009720112197101116
500,0.002602314343675971,5.543621063232422,1.0,0.15320470929145813,8.048480987548828,-4.1435065269470215,0.003177014412358403
600,0.000870566233061254,5.677588939666748,1.0,0.16775669157505035,9.145931243896484,-4.315901279449463,0.0011314417934045196
700,0.00030196792795322835,5.821068286895752,1.0,0.1818181723356247,10.210505485534668,-4.477602958679199,0.0004147024010308087
800,0.027912812307476997,6.405132293701172,0.9975705742835999,0.12361019849777222,6.522491455078125,-5.221642017364502,0.22127287089824677
900,7.776635902700946e-05,6.266550064086914,1.0,0.1881948858499527,11.375960350036621,-4.988268852233887,0.00031506369123235345
1000,4.152873589191586e-05,6.348816871643066,1.0,0.19587965309619904,12.032764434814453,-5.064397811889648,9.866043546935543e-05
1100,2.0772589778061956e-05,6.507019996643066,1.0,0.19931326806545258,12.725110054016113,-5.225351333618164,4.018515392090194e-05
1200,9.341465556644835e-06,6.729349136352539,1.0,0.2007848173379898,13.505133628845215,-5.452818393707275,1.6615262211416848e-05
1300,3.915835350198904e-06,6.989963054656982,1.0,0.20209285616874695,14.348166465759277,-5.717133045196533,6.837351975264028e-06
1400,1.6010171748348512e-06,7.263558864593506,1.0,0.20372791588306427,15.20941162109375,-5.990255355834961,2.908268925239099e-06
1500,6.593978127966693e-07,7.526772975921631,1.0,0.20585349202156067,16.042110443115234,-6.248043537139893,1.3170217698643683e-06
1600,2.812803359120153e-07,7.739932060241699,1.0,0.20618049800395966,16.77018928527832,-6.450345039367676,6.002650252412423e-07
1700,1.3401540854829364e-07,7.874659538269043,1.0,0.2071615308523178,17.33043098449707,-6.5711188316345215,3.197253590769833e-07
1800,7.884536756819216e-08,7.9709930419921875,1.0,0.2069980353116989,17.755470275878906,-6.658082962036133,8.847126196087629e-07
1900,3.945888593648306e-08,7.996370315551758,1.0,0.207488551735878,17.97594451904297,-6.671573162078857,1.8544659496910754e-06
2000,4.774887329972444e-08,7.964517593383789,1.0,0.21010462939739227,18.035390853881836,-6.6278228759765625,3.557519448804669e-06
2100,3.833666184505091e-08,7.942495346069336,1.0,0.21206669509410858,18.09987449645996,-6.597075939178467,2.8991969429625897e-06
2200,4.966751632196065e-08,7.923186302185059,1.0,0.21500980854034424,18.075851440429688,-6.566445350646973,7.112380444596056e-06
2300,7.120700473706165e-08,7.96464204788208,1.0,0.21321123838424683,17.884231567382812,-6.611591815948486,3.851464953186223e-06
2400,6.469679647125304e-06,8.511714935302734,1.0,0.16219750046730042,13.814006805419922,-7.440414905548096,0.00018574630666989833
2500,2.7706939818017418e-06,8.454909324645996,1.0,0.16939175128936768,14.497907638549805,-7.3459296226501465,5.2143936045467854e-05
2600,1.3266503628983628e-06,8.408437728881836,1.0,0.17625898122787476,15.147037506103516,-7.2618818283081055,2.109726301569026e-05
2700,6.346002692225738e-07,8.369097709655762,1.0,0.1860693246126175,15.82526969909668,-7.180947303771973,8.663826520205475e-06
