step,emb_eff_rank,fourier_structured_ratio,fourier_entropy
1,84.88124697839523,0.11734381184431524,3.8678516090827566
250,84.87319292854187,0.11797934971923431,3.8676817567489223
500,84.8899899276758,0.11808020460913078,3.8676337829531104
750,84.89100190124655,0.11811909775185321,3.867616411848796
1000,84.91415915249029,0.11815833162844835,3.8676101055419325
1250,84.91934205963015,0.1181573569425359,3.8676115106751587
1500,84.92084030266338,0.11815509423822038,3.8676118551138634
1750,84.92075931587767,0.11815408602988145,3.8676116416005963
2000,84.92063783584393,0.11815385561881667,3.8676115323039113
2250,84.92071882251379,0.1181531354230904,3.8676115015070813
2500,84.93307019369685,0.11815846844194165,3.867606881762555
2750,84.93537868196698,0.11816099385846018,3.8676072889919273
3000,84.93756572873271,0.1181644372440622,3.8676075276340867
3250,84.93869977515233,0.1181647047836484,3.8676078999666132
3500,84.9391452975312,0.11816375607573737,3.8676079982524594
3750,84.94728661794787,0.11817230565869108,3.867607224090225
4000,84.94898788793903,0.11817603837683305,3.8676066349684817
4250,84.95117528513552,0.11817941971403767,3.8676063660503988
4500,84.9529576504216,0.11818083247117515,3.867606438599278
4750,84.95401088385005,0.11818014984515875,3.8676063577161743
5000,84.95433495830119,0.11817891754740428,3.867606268856933
5250,84.95453750546093,0.11817818306407558,3.86760615317501
5500,84.95482107229587,0.1181777271555782,3.8676060087563853
5750,84.9550641303363,0.11817717677335454,3.867605848842486
6000,84.95530718907213,0.1181768279887549,3.867605649264714
6250,84.95555024850336,0.11817642385910893,3.867605444934635
6500,84.95583381871869,0.11817604379549261,3.8676052484204466
6750,84.95607687965662,0.11817576214825727,3.8676050234216097
7000,84.95640096198893,0.11817554455292927,3.867604791831539
7250,84.95668453504383,0.11817525289153988,3.8676045472905205
7500,84.95692759841567,0.11817496645169519,3.8676043023365474
7750,84.95721117322843,0.11817482690495554,3.867604037217019
8000,84.95757577080707,0.11817461951041135,3.867603787361824
8250,84.95785934778333,0.11817440645971143,3.867603548968535
8500,84.95814292570613,0.11817421025250834,3.867603283260649
8750,84.95850752728343,0.1181740209671095,3.8676030219655946
9000,84.95887213042543,0.11817392732244443,3.867602767389068
9250,84.9593177586128,0.11817380468148067,3.867602539388005
9500,84.9596418533081,0.11817361793246586,3.867602299606572
9750,84.96000646131812,0.11817344523091025,3.86760207976997
10000,84.96041158316442,0.11817336965074779,3.867601819712176
10250,84.9608167069425,0.11817341616127594,3.867601579614847
10500,84.96122183265237,0.11817336936001979,3.8676013485272978
10750,84.96166747316444,0.1181732432593297,3.8676011437709397
11000,84.962113116014,0.11817317071252896,3.8676009284977173
11250,84.96251824790563,0.11817318122414595,3.8676007195580926
11500,84.9629233817291,0.11817321035471931,3.8676005236689566
11750,84.96336903116618,0.11817321488884514,3.867600332665761
12000,84.9638146829408,0.11817318857511715,3.867600145556949
12250,84.96426033705295,0.11817323510280117,3.8675999461649067
12500,84.96474650784127,0.11817328870029116,3.8675997863962266
12750,84.96515165228992,0.11817326518180539,3.8675996193111866
13000,84.9656378281784,0.11817334639792913,3.867599472632328
13250,84.96608349185335,0.11817340407021444,3.8675993138498135
13500,84.96661018830117,0.11817351399465045,3.867599159585828
13750,84.96705585707637,0.11817357257027351,3.867599024101464
14000,84.96754204386083,0.1181736963226664,3.867598875155471
14250,84.96798771752383,0.11817391650604565,3.8675987209095113
14500,84.96847390964044,0.11817407444726724,3.8675985779065565
14750,84.96900062090621,0.11817424263796913,3.8675984325523025
15000,84.96948681881874,0.11817448338587586,3.8675982796815545
15250,84.97005405323289,0.11817468384548399,3.8675981334937775
15500,84.97045922298996,0.11817491595424277,3.867597984000084
15750,84.9709859465625,0.11817512658834066,3.8675978291699047
16000,84.97155319098444,0.11817540345426877,3.867597695103054
16250,84.97199888568679,0.11817568906745889,3.867597551365961
16500,84.97256613687084,0.11817595759391428,3.8675973854342245
16750,84.97313339184173,0.1181761100082963,3.8675972634830424
17000,84.97366013199118,0.11817655765045736,3.8675971181942232
17250,84.97422739426528,0.11817685776230208,3.8675969903203855
17500,84.97471362208573,0.11817710758720341,3.867596868737545
17750,84.97532141077379,0.11817741681656378,3.86759671674902
18000,84.97588868413817,0.11817779389801275,3.867596578603174
18250,84.97645596128953,0.11817810219402779,3.867596462272183
18500,84.97702324222787,0.11817845800307371,3.8675963308125283
18750,84.97763104743568,0.11817885690321009,3.86759618668476
19000,84.97819833621861,0.11817912921918836,3.8675960525993665
19250,84.97880614983137,0.11817941835290899,3.867595937867564
19500,84.9793329251457,0.11817978618053832,3.867595824156016
19750,84.9799812684768,0.11818006492851578,3.867595722775863
20000,84.98058909484214,0.11818049265477348,3.8675955541351277
20250,84.98119692555501,0.11818081009300282,3.867595425360519
20500,84.98184528310739,0.11818114328558928,3.867595322271617
20750,84.98249364560634,0.11818142846391555,3.8675952167901797
21000,84.98310148994167,0.11818178414827589,3.867595103730229
21250,84.98379038544421,0.11818209290653268,3.867594986111214
21500,84.98443876278317,0.11818236540303645,3.867594871331652
21750,84.98508714506889,0.11818261192178875,3.867594760156294
22000,84.98573553230139,0.11818292889335766,3.867594657082938
22250,84.98642444915617,0.11818309343113077,3.867594593279777
22500,84.9871133715955,0.11818327956783792,3.8675945108974092
22750,84.98776177428694,0.11818339283814412,3.8675944321322975
23000,84.98853175890825,0.11818367944775453,3.8675943291817334
23250,84.98922069842997,0.11818394402103381,3.8675942451722483
23500,84.98995016989309,0.11818404563433008,3.8675941984217475
23750,84.99063912091283,0.11818418209913772,3.8675941316856495
24000,84.99136860455042,0.11818433992231599,3.867594067380047
24250,84.99209809444923,0.11818453798838698,3.86759400383589
24500,84.99282759060934,0.11818463426037155,3.867593925719679
24750,84.99359762112668,0.11818476660309521,3.8675938593477355
25000,84.99436765862045,0.11818486874644991,3.8675938029793606
25250,84.99513770309073,0.11818488329416534,3.8675937580555377
25500,84.99590775453757,0.11818489731033796,3.867593715910653
25750,84.99667781296102,0.11818485740786452,3.8675936971214
26000,84.99744787836117,0.11818487978421822,3.867593657944358
26250,84.99825848105644,0.11818482793546467,3.867593621630281
26500,84.99902856077736,0.11818473596710302,3.8675935904186707
26750,84.99983917854726,0.11818465573029735,3.8675935889093664
27000,85.00064980404785,0.11818455574512385,3.867593558575387
27250,85.00141990543403,0.11818459621039082,3.8675935295317014
27500,85.00227107824139,0.11818449559698681,3.867593530389464
27750,85.0031222595721,0.11818434358378081,3.8675935205668335
28000,85.0039734494262,0.11818421089940441,3.8675935153346312
28250,85.00482464780382,0.11818397193486371,3.8675935037126115
28500,85.00563532084978,0.11818399241502393,3.867593489840825
28750,85.00648653586875,0.1181838633514381,3.8675934529935545
29000,85.0073782940785,0.11818376916273965,3.867593431538518
29250,85.00822952655098,0.11818347870344435,3.8675934798509557
29500,85.00912130304553,0.11818324139604432,3.867593463410174
29750,85.00997255297185,0.11818306946927445,3.867593462131655
30000,85.01090488410021,0.11818284392336555,3.8675934744489435
30250,85.01179668866052,0.11818253253301098,3.8675934679085655
30500,85.0126885025763,0.11818234285592864,3.8675934784142623
30750,85.01358032584763,0.11818208708503987,3.867593497866399
31000,85.01455323463188,0.11818188192330117,3.8675934736022533
31250,85.015485615998,0.11818172477613352,3.867593468978014
31500,85.01649908560286,0.11818146548917627,3.867593492973702
31750,85.017390948849,0.11818121241456918,3.8675935095663707
32000,85.01836390124261,0.11818091474704563,3.8675935189663573
32250,85.01929632440154,0.11818071535933569,3.8675935121168385
32500,85.02022875778663,0.11818043460741388,3.867593532825713
32750,85.02124228393447,0.11818023610527809,3.867593544605655
33000,85.02221528040337,0.11817989794018208,3.8675935519132247
33250,85.02322883023255,0.11817965031398599,3.8675935517357267
33500,85.0242018494358,0.11817929330358493,3.8675935584238803
33750,85.02521542294686,0.11817901412463196,3.8675935538608273
34000,85.026188464885,0.11817872559847352,3.867593556878983
34250,85.02728315037596,0.118178410123506,3.8675935557228707
34500,85.02825621597749,0.11817804912026936,3.867593596202759
34750,85.02931038294572,0.11817785953250773,3.86759359161024
35000,85.03032401735562,0.11817749349234924,3.867593622615513
35250,85.03137820996012,0.11817717908440672,3.867593629957582
35500,85.03243241563435,0.11817695441827414,3.867593622013069
35750,85.03356772866935,0.11817664829285737,3.8675936424022677
36000,85.03466250916604,0.11817623245102224,3.86759366094382
36250,85.0356356592181,0.1181758531063393,3.867593675011465
36500,85.03673046633875,0.11817561434573334,3.867593655762712
